CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2015-5-15,26,21,16,9,4,0,63,32,14,1018,1014,1012,23,15,8,26,11,,0.00,,中雨,269
2015-5-16,30,20,11,12,7,-1,88,43,13,1014,1009,1004,11,8,5,26,8,,0.00,,,211
2015-5-17,27,22,18,19,16,12,94,66,40,1004,999,994,7,4,2,18,10,32,0.00,1,中雨,123
2015-5-18,28,23,18,19,2,-13,100,34,5,1005,1001,998,18,6,2,47,16,68,0.00,,,333
2015-5-19,27,19,12,4,-3,-14,40,19,4,1013,1008,1005,26,18,8,58,19,76,0.00,,,328
2015-5-20,30,21,12,6,3,-1,58,26,8,1018,1015,1012,27,21,18,26,16,35,0.00,,,309
2015-5-21,30,21,13,9,7,3,72,37,14,1014,1011,1008,16,13,8,32,11,,0.00,,,214
2015-5-22,30,21,12,12,9,7,82,43,18,1012,1009,1006,14,10,6,18,8,26,0.00,,,149
2015-5-23,32,23,15,15,12,10,77,47,18,1010,1008,1005,10,6,3,21,8,29,0.00,,,152
2015-5-24,33,26,18,16,13,9,77,46,17,1008,1006,1004,11,5,2,21,8,32,0.00,,,166
2015-5-25,34,27,19,15,13,12,73,43,20,1007,1005,1003,10,6,3,29,8,40,0.00,,,170
2015-5-26,35,28,21,16,14,10,64,42,20,1007,1005,1003,10,8,5,26,13,40,0.00,,,174
2015-5-27,32,26,20,17,15,13,73,49,23,1007,1004,1002,8,6,3,21,11,,0.00,,,143
2015-5-28,31,26,20,18,16,13,73,52,34,1005,1004,1002,10,6,3,21,11,,0.00,8,中雨,154
2015-5-29,31,26,20,19,16,13,88,59,27,1008,1005,1003,14,7,3,21,8,,0.76,8,中雨,140
2015-5-30,31,23,15,17,13,9,94,54,19,1010,1007,1004,11,7,2,21,8,32,0.00,,,131
2015-5-31,34,26,17,17,14,12,82,47,22,1005,1001,997,13,9,6,26,10,,0.00,1,,174
2015-6-1,33,28,23,21,18,13,73,54,28,1003,1000,999,10,6,3,18,8,,0.00,1,中雨,123
2015-6-2,35,28,21,17,4,-8,73,29,4,1014,1008,1004,19,12,3,29,11,35,0.00,,,40
2015-6-3,33,24,16,14,6,-5,88,35,8,1015,1012,1009,19,13,8,26,10,43,0.00,,,174
2015-6-4,27,22,18,17,14,7,94,67,28,1009,1004,1000,10,8,3,21,6,35,3.05,6,中雨,142
2015-6-5,32,23,15,17,14,11,100,64,18,1000,998,995,16,6,0,18,6,35,0.00,3,雾-中雨-雷暴,100
2015-6-6,31,24,17,17,13,8,82,53,20,1005,1002,999,27,14,10,26,13,29,0.76,1,中雨-雷暴,20
2015-6-7,30,22,15,14,9,-1,91,46,8,1010,1008,1005,31,17,10,21,10,35,0.00,,中雨,300
2015-6-8,33,23,14,14,9,4,86,41,11,1008,1005,1001,26,14,6,21,11,43,0.25,1,中雨,289
2015-6-9,30,24,19,17,13,11,78,50,30,1004,1001,999,10,9,5,21,8,,3.05,2,中雨-雷暴,70
2015-6-10,24,21,16,19,18,16,100,81,60,1004,1000,997,10,5,2,26,10,,5.08,4,中雨-雷暴,40
2015-6-11,30,23,16,16,12,6,100,55,16,999,997,996,26,13,3,35,13,55,0.00,1,中雨,308
2015-6-12,29,23,18,13,10,7,73,39,17,999,998,996,31,25,10,43,18,61,0.00,,,300
2015-6-13,29,23,18,18,16,11,94,63,35,1009,1004,999,31,14,10,26,14,,0.51,1,中雨-雷暴,28
2015-6-14,33,24,17,18,15,12,94,56,21,1009,1008,1006,29,19,10,14,8,32,0.00,,,70
2015-6-15,32,26,21,18,16,13,83,54,24,1009,1007,1004,10,6,3,26,8,43,0.00,,,143
2015-6-16,34,27,21,20,17,13,83,56,19,1005,1003,1001,13,7,3,29,8,40,0.00,1,中雨,100
2015-6-17,33,27,20,21,18,12,88,62,19,1006,1003,1000,21,11,6,40,10,55,11.94,2,中雨-雷暴,4
2015-6-18,33,26,19,18,9,3,94,37,9,1008,1006,1003,27,20,3,29,10,,0.00,1,中雨,345
2015-6-19,27,22,17,17,14,6,94,67,23,1013,1010,1005,21,11,6,26,11,,1.02,3,中雨-雷暴,52
2015-6-20,32,23,16,16,14,12,94,54,23,1013,1011,1009,27,18,6,14,8,,0.00,,,56
2015-6-21,32,26,19,18,15,12,88,50,21,1010,1008,1005,18,13,6,14,6,,0.00,,,156
2015-6-22,32,26,21,18,16,14,73,54,26,1007,1006,1004,11,6,3,18,8,,0.25,,,149
2015-6-23,31,27,22,20,18,16,84,60,29,1008,1007,1005,8,4,1,21,10,,0.00,8,中雨,137
2015-6-24,27,24,22,20,18,17,83,66,46,1006,1005,1004,8,5,3,18,10,,0.00,8,中雨,157
2015-6-25,27,24,22,20,19,18,83,70,46,1004,1001,999,8,5,2,11,6,,2.03,6,中雨,126
2015-6-26,29,24,21,22,21,18,100,79,46,1003,1000,999,10,4,0,18,6,,6.10,4,中雨-雷暴,133
2015-6-27,29,25,21,23,21,19,94,77,52,1007,1005,1002,7,5,2,11,6,,0.00,8,,70
2015-6-28,32,28,23,23,22,19,83,70,46,1008,1006,1003,8,4,2,18,8,,0.00,,,131
2015-6-29,28,23,19,22,19,16,94,83,60,1009,1005,1003,19,6,2,29,6,47,0.00,2,中雨,51
2015-6-30,28,23,18,18,16,11,94,66,28,1008,1003,997,31,15,10,21,11,35,0.76,8,中雨,272
2015-7-1,33,24,16,19,14,8,94,57,13,1001,998,995,31,16,8,21,8,29,1.02,1,中雨,5
2015-7-2,34,24,16,15,11,4,82,40,9,1005,1002,1000,31,24,10,29,11,47,0.00,,,1
2015-7-3,31,24,17,14,12,9,82,43,17,1010,1008,1005,26,17,13,18,8,,0.00,,,142
2015-7-4,27,23,19,17,14,9,84,57,25,1011,1010,1008,26,13,8,14,6,,1.02,8,中雨,119
2015-7-5,31,23,17,18,15,12,94,59,28,1011,1010,1007,11,8,5,14,6,,0.00,,,109
2015-7-6,31,24,19,18,16,13,94,57,27,1012,1010,1008,19,7,3,14,6,,0.00,,,131
2015-7-7,33,27,20,18,17,15,88,53,26,1011,1009,1006,13,7,5,18,8,,0.00,,,137
2015-7-8,34,28,22,21,19,16,88,59,31,1012,1010,1008,11,5,2,18,8,,0.00,,,136
2015-7-9,34,28,23,18,16,12,73,49,24,1014,1012,1010,18,7,2,18,8,,0.00,,,132
2015-7-10,33,28,23,20,18,15,83,55,29,1013,1010,1007,19,9,6,18,10,,0.00,,,129
2015-7-11,35,29,23,21,19,17,83,57,29,1010,1007,1004,11,6,2,18,6,,0.00,,,132
2015-7-12,39,31,23,21,20,14,88,57,23,1004,1000,995,10,5,2,29,6,58,0.00,1,中雨-雷暴,61
2015-7-13,40,32,24,22,17,12,83,42,13,1000,998,996,16,10,6,21,6,40,0.25,,,11
2015-7-14,36,30,24,21,17,13,83,45,22,1005,1003,1000,19,12,6,40,14,50,0.00,2,中雨-雷暴,322
2015-7-15,30,27,24,19,17,14,65,50,34,1007,1005,1004,19,13,10,21,10,29,7.11,8,中雨,339
2015-7-16,28,24,21,20,19,18,94,76,54,1008,1007,1006,14,9,2,26,14,,1.02,1,中雨-雷暴,348
2015-7-17,28,24,21,21,19,18,92,77,54,1009,1007,1005,14,9,3,18,11,,6.10,5,中雨-雷暴,12
2015-7-18,28,24,20,22,21,19,100,84,55,1008,1006,1005,10,8,2,14,8,26,30.99,5,中雨-雷暴,33
2015-7-19,28,24,21,23,22,21,100,90,57,1009,1008,1007,10,5,2,21,6,,0.76,6,雾-中雨-雷暴,57
2015-7-20,29,26,22,23,22,21,100,82,51,1009,1007,1005,8,5,2,14,6,,0.00,5,中雨-雷暴,114
2015-7-21,30,26,22,24,23,20,94,83,58,1007,1005,1002,10,4,2,26,6,,0.00,6,中雨-雷暴,128
2015-7-22,31,26,21,25,22,19,100,80,43,1006,1004,1002,10,7,3,40,6,58,4.06,3,中雨-雷暴,115
2015-7-23,31,27,22,25,23,19,100,81,50,1006,1004,1002,11,6,3,11,5,,0.00,4,,44
2015-7-24,34,28,23,23,21,17,94,72,31,1003,1001,999,14,7,3,18,6,32,0.00,2,,85
2015-7-25,34,28,22,24,22,20,94,70,41,1002,1000,999,8,7,3,18,6,,0.00,,,155
2015-7-26,35,29,24,25,23,20,94,68,35,1005,1003,1000,10,6,3,11,5,29,0.00,3,中雨,113
2015-7-27,34,28,23,26,23,20,100,73,52,1006,1004,1001,10,7,3,32,8,,27.94,3,中雨-雷暴,134
2015-7-28,31,27,23,24,23,21,100,82,51,1005,1003,1001,8,5,2,11,6,,0.51,1,中雨,72
2015-7-29,32,28,24,27,24,22,94,78,59,1003,1001,999,10,5,2,21,6,,1.02,2,中雨,109
2015-7-30,28,24,21,24,22,19,100,85,70,1007,1004,1001,18,8,2,21,10,,1.02,6,中雨-雷暴,71
2015-7-31,30,26,21,23,21,20,100,77,52,1008,1007,1006,19,11,5,11,6,,0.25,6,中雨,14
2015-8-1,27,24,23,24,23,21,100,88,65,1008,1006,1003,10,4,0,14,5,29,32.00,2,中雨-雷暴,94
2015-8-2,30,27,23,25,23,22,100,87,65,1004,1002,1000,7,5,0,14,5,,0.51,2,中雨,111
2015-8-3,29,24,21,25,21,14,100,77,39,1003,1002,1000,26,7,2,29,6,35,0.25,8,中雨,342
2015-8-4,33,24,17,21,18,14,94,62,27,1003,1001,999,27,19,10,18,8,35,0.00,,,88
2015-8-5,32,26,20,24,22,18,100,76,46,1006,1003,1001,18,7,3,29,6,47,0.00,3,中雨-雷暴,109
2015-8-6,31,26,20,24,21,17,94,74,47,1010,1007,1005,21,8,3,14,8,,0.00,1,,65
2015-8-7,31,26,20,24,22,18,94,83,52,1015,1012,1010,10,5,2,40,8,35,5.08,5,中雨-雷暴,94
2015-8-8,31,24,19,23,20,18,100,76,43,1014,1013,1010,18,8,3,11,8,29,0.00,,,22
2015-8-9,35,28,21,24,21,17,94,70,34,1012,1010,1008,10,7,2,11,5,,0.00,,,48
2015-8-10,35,29,23,24,21,17,94,65,29,1011,1009,1007,23,10,2,14,8,,0.00,,,48
2015-8-11,35,30,25,24,22,20,89,68,34,1010,1008,1006,10,6,2,32,6,,0.00,1,中雨,91
2015-8-12,36,29,23,24,22,17,94,67,32,1008,1006,1003,8,6,3,18,6,,0.00,,,136
2015-8-13,35,29,23,25,22,21,94,67,36,1006,1003,1001,8,5,3,18,8,,0.00,,,135
2015-8-14,32,28,23,24,18,12,94,58,19,1004,1003,1002,18,7,3,29,10,43,0.00,,,314
2015-8-15,35,28,20,20,16,10,88,52,13,1006,1005,1003,31,20,11,21,8,,0.00,,,16
2015-8-16,35,27,19,21,18,16,94,58,28,1007,1005,1003,14,11,10,18,6,,0.00,,,104
2015-8-17,33,28,23,22,19,14,88,60,35,1008,1006,1004,11,6,3,29,8,,0.00,1,,131
2015-8-18,31,27,23,23,18,16,78,63,37,1012,1010,1008,19,9,3,26,8,,0.25,,中雨,100
2015-8-19,29,24,21,22,19,17,100,75,42,1013,1011,1009,11,7,3,18,6,,0.76,8,中雨,81
2015-8-20,34,27,19,20,17,11,94,61,24,1011,1008,1004,18,10,6,21,8,40,0.00,1,雷暴,337
2015-8-21,33,26,18,20,16,11,83,53,20,1008,1005,1003,31,27,18,14,8,,0.00,,,17
2015-8-22,33,27,21,19,17,15,83,59,27,1008,1005,1004,31,15,5,21,11,,0.00,1,,33
2015-8-23,28,24,20,21,19,17,94,78,41,1011,1009,1008,23,12,10,29,8,55,2.03,1,中雨-雷暴,23
2015-8-24,29,24,19,21,18,16,94,73,35,1012,1011,1009,29,19,10,18,8,,0.00,1,中雨,39
2015-8-25,31,26,20,20,18,14,94,66,29,1012,1010,1008,26,16,10,18,6,,0.00,1,中雨,37
2015-8-26,33,27,20,19,18,14,88,62,27,1011,1009,1007,29,15,10,14,8,,0.00,1,中雨,17
2015-8-27,32,26,21,20,17,14,88,61,23,1011,1009,1007,29,15,10,18,8,35,0.00,1,,10
2015-8-28,34,27,19,20,17,13,94,60,21,1009,1007,1005,24,13,5,21,6,29,0.00,1,,49
2015-8-29,31,24,19,19,17,15,88,60,34,1010,1009,1007,18,12,6,18,8,,4.06,1,,116
2015-8-30,24,22,20,21,18,16,98,80,59,1013,1012,1010,14,9,3,14,6,,19.05,4,中雨-雷暴,86
2015-8-31,23,21,19,20,19,18,100,89,72,1014,1013,1012,10,8,3,14,8,,7.11,6,中雨,3
2015-9-1,24,21,18,19,18,18,100,86,66,1013,1013,1012,23,11,6,21,11,40,2.03,7,中雨,8
2015-9-2,32,26,19,19,17,14,94,65,28,1014,1013,1011,31,24,16,18,11,,0.00,,,358
2015-9-3,32,26,19,20,18,15,94,65,32,1015,1014,1012,26,18,6,14,6,,0.00,,,72
2015-9-4,24,21,19,21,19,18,100,89,73,1014,1013,1011,10,5,2,18,8,,16.00,5,中雨-雷暴,104
2015-9-5,20,19,17,18,17,15,100,92,72,1013,1011,1009,18,7,2,18,10,,7.87,7,中雨,72
2015-9-6,29,23,17,18,16,11,94,64,32,1015,1013,1012,19,15,6,18,10,29,0.00,,中雨,333
2015-9-7,30,23,16,18,16,14,100,67,35,1014,1013,1012,19,11,5,14,6,,0.00,,,175
2015-9-8,27,21,16,19,16,11,100,71,32,1017,1015,1014,14,8,3,14,5,,0.00,,,135
2015-9-9,26,22,19,18,16,13,88,70,47,1022,1019,1016,24,13,3,21,10,,0.00,8,中雨,21
2015-9-10,20,17,14,16,13,11,94,79,55,1023,1021,1020,24,11,10,21,11,,2.03,5,中雨,349
2015-9-11,24,19,14,15,12,9,94,69,31,1019,1016,1013,31,16,10,29,10,40,6.10,2,中雨-雷暴,328
2015-9-12,26,20,15,9,7,3,63,40,15,1020,1016,1014,31,26,18,29,21,47,0.00,,,284
2015-9-13,31,21,12,15,11,7,94,56,15,1017,1016,1014,27,15,6,18,8,35,0.00,,,288
2015-9-14,26,19,13,16,14,11,100,69,29,1020,1018,1016,13,8,3,18,6,,0.00,,,118
2015-9-15,27,20,13,16,14,12,94,73,31,1021,1020,1017,8,5,2,11,5,,0.00,,,82
2015-9-16,27,20,14,17,15,13,100,73,33,1019,1018,1016,8,4,2,14,5,,0.00,,,145
2015-9-17,28,22,16,19,17,15,100,75,41,1018,1017,1015,8,4,2,14,5,,0.51,,,120
2015-9-18,30,24,17,19,16,8,94,67,17,1018,1016,1014,31,6,2,14,6,,0.25,,中雨,22
2015-9-19,29,21,14,15,11,8,88,54,18,1019,1017,1014,31,20,5,14,10,,0.00,,,46
2015-9-20,28,22,16,18,16,13,92,69,36,1015,1013,1010,10,6,2,18,8,29,0.00,,,145
2015-9-21,28,22,16,16,14,13,88,63,31,1013,1011,1009,8,7,5,18,6,,0.00,,,116
2015-9-22,26,21,16,18,17,15,94,79,48,1011,1010,1007,10,4,2,35,10,,0.00,4,中雨-雷暴,134
2015-9-23,27,20,13,17,15,13,100,74,34,1011,1009,1008,19,14,6,14,8,,0.00,,,52
2015-9-24,26,21,16,19,17,14,94,83,56,1012,1009,1006,10,6,2,40,6,61,4.06,3,中雨-雷暴,63
2015-9-25,26,19,12,16,8,-5,100,59,6,1013,1011,1009,31,12,3,26,8,43,0.00,,,320
2015-9-26,27,18,10,14,10,6,94,61,23,1015,1013,1011,24,16,6,21,6,40,0.00,,,72
2015-9-27,29,21,13,16,12,6,94,61,15,1018,1014,1013,31,10,6,14,6,,0.00,,中雨,37
2015-9-28,20,17,14,16,15,13,100,86,53,1027,1023,1018,31,8,3,21,10,,0.51,8,中雨,66
2015-9-29,17,16,14,15,14,13,100,92,75,1031,1029,1027,10,7,2,14,5,,6.10,4,中雨,6
2015-9-30,20,17,13,15,13,12,100,85,54,1027,1019,1011,18,8,2,14,6,,5.08,5,中雨,181
2015-10-1,23,17,11,14,4,-1,100,44,13,1014,1012,1010,31,19,3,55,23,72,0.00,6,中雨,299
2015-10-2,27,17,7,11,7,4,100,55,17,1014,1011,1008,31,14,2,26,8,43,0.00,,,256
2015-10-3,25,17,8,13,9,6,93,60,24,1023,1020,1015,27,17,8,18,8,,0.00,,,159
2015-10-4,24,18,11,15,12,10,100,75,31,1025,1022,1020,8,5,2,11,5,,0.00,,,70
2015-10-5,25,18,11,16,14,11,100,82,47,1021,1019,1016,5,3,0,11,5,,0.00,,雾,108
2015-10-6,25,19,13,17,15,12,100,81,45,1019,1016,1014,3,2,0,11,5,,0.00,,雾,48
2015-10-7,25,20,15,18,14,-8,100,74,6,1018,1014,1012,26,3,0,32,6,,0.00,,,29
2015-10-8,20,14,9,3,-5,-9,66,22,6,1022,1019,1015,31,27,13,43,24,61,0.00,,,299
2015-10-9,21,13,5,6,-2,-6,87,39,9,1015,1012,1009,31,19,10,50,14,72,0.00,,,331
2015-10-10,16,12,9,-3,-4,-7,43,29,12,1018,1016,1015,31,30,27,47,23,64,0.00,,,310
2015-10-11,22,17,12,2,-1,-4,44,29,11,1021,1017,1015,31,28,23,35,24,50,0.00,,,314
2015-10-12,25,16,6,6,1,-3,87,40,7,1023,1021,1018,31,23,11,26,10,40,0.00,,,308
2015-10-13,28,17,7,9,4,-1,82,51,8,1022,1020,1017,31,15,5,14,6,,0.00,,,355
2015-10-14,22,16,10,12,9,6,94,66,27,1019,1017,1016,7,5,2,11,6,,0.00,,,19
2015-10-15,26,17,9,12,9,8,94,66,25,1018,1017,1015,11,6,2,14,6,29,0.00,,,354
2015-10-16,24,17,9,15,12,9,100,79,35,1020,1017,1016,5,3,0,6,3,,0.00,,雾,74
2015-10-17,22,16,9,15,12,9,100,80,36,1020,1017,1015,4,2,0,11,3,,0.00,,雾,28
2015-10-18,19,16,12,11,5,3,88,50,27,1027,1024,1020,23,9,2,18,11,,0.00,,,120
2015-10-19,19,13,8,10,7,4,94,68,41,1022,1017,1013,14,7,2,11,5,29,0.00,,,132
2015-10-20,14,11,8,10,8,-2,100,78,23,1020,1018,1016,11,6,2,18,6,,0.25,8,中雨,12
2015-10-21,11,10,9,10,9,8,100,93,87,1027,1024,1020,10,5,2,11,6,,1.02,7,中雨,94
2015-10-22,11,9,8,10,8,5,100,86,61,1027,1024,1022,19,9,2,14,5,,7.87,6,中雨,350
2015-10-23,19,14,9,11,9,8,100,78,46,1021,1018,1015,11,7,2,14,5,29,0.00,,,163
2015-10-24,20,13,7,12,7,3,100,69,32,1030,1025,1019,14,7,0,14,6,32,0.00,,,193
2015-10-25,14,10,7,9,3,-4,99,63,18,1030,1028,1024,23,13,3,14,5,,5.08,8,中雨,133
2015-10-26,16,12,8,8,3,-10,93,66,10,1024,1018,1014,31,10,3,35,10,58,0.00,5,中雨,221
2015-10-27,17,9,2,2,-3,-9,87,44,13,1020,1016,1014,31,20,6,35,8,64,0.00,,,298
2015-10-28,16,8,1,0,-6,-9,87,35,9,1025,1023,1020,31,28,19,32,13,50,0.00,,,335
2015-10-29,13,7,0,-6,-10,-13,64,27,7,1031,1027,1025,31,30,29,35,16,61,0.00,,,331
2015-10-30,15,7,-1,0,-4,-9,87,50,13,1032,1031,1029,31,16,6,21,8,40,0.00,,,215
2015-10-31,17,8,0,2,-2,-7,87,57,13,1034,1031,1027,23,10,3,14,6,32,0.00,,,8
2015-11-1,19,9,-1,2,-1,-6,100,59,14,1027,1023,1020,10,6,2,18,6,35,0.00,,,321
2015-11-2,20,10,1,4,0,-4,100,58,12,1023,1021,1019,10,5,2,18,6,,0.00,,,14
2015-11-3,19,10,1,7,4,0,100,73,28,1024,1022,1021,8,5,2,18,5,29,0.00,,,112
2015-11-4,16,10,4,8,6,3,100,73,37,1025,1023,1022,5,3,2,11,5,,0.00,,中雨,31
2015-11-5,12,7,3,9,5,-1,94,79,61,1033,1029,1025,21,7,2,26,10,40,2.03,8,中雨,32
2015-11-6,4,2,1,2,0,-2,100,86,61,1032,1031,1028,26,9,4,26,18,40,5.08,8,中雨-中雪,20
2015-11-7,5,2,0,1,-1,-2,100,78,55,1030,1028,1026,31,11,5,26,18,35,1.02,8,中雨-中雪,23
2015-11-8,8,4,1,3,1,-1,100,77,54,1027,1026,1024,14,7,2,14,8,,0.00,8,中雨,30
2015-11-9,7,3,1,4,3,0,100,88,74,1029,1027,1026,3,2,0,6,5,,0.00,8,雾,67
2015-11-10,6,6,5,5,4,3,93,89,73,1031,1029,1028,3,2,1,11,5,,0.00,8,中雨,113
2015-11-11,7,6,5,6,4,3,100,88,72,1032,1031,1030,6,3,2,11,5,,0.00,8,中雨,47
2015-11-12,8,7,6,6,6,4,95,90,76,1032,1030,1027,3,2,1,11,3,,0.00,8,中雨,67
2015-11-13,9,8,6,6,6,4,93,87,62,1027,1022,1019,3,2,1,6,3,,0.00,8,,90
2015-11-14,11,8,5,8,6,4,100,87,71,1018,1016,1015,3,2,0,14,5,,0.00,8,雾,146
2015-11-15,13,8,3,8,6,2,100,81,49,1024,1021,1018,11,3,0,11,5,,0.00,8,雾-中雨,80
2015-11-16,9,6,3,6,3,-1,100,76,41,1023,1021,1019,10,7,5,14,6,,1.02,7,中雨,162
2015-11-17,10,5,0,3,0,-5,100,71,27,1030,1026,1022,13,7,2,18,8,,0.00,8,,85
2015-11-18,5,4,3,2,0,-4,81,73,52,1030,1027,1025,10,7,3,14,10,,0.00,5,中雨,178
2015-11-19,5,3,1,5,3,0,100,96,79,1028,1026,1024,6,3,1,18,8,,2.03,8,中雨-中雪,106
2015-11-20,2,1,0,1,1,0,100,95,87,1030,1028,1026,4,3,1,11,6,,1.02,8,中雨-中雪,106
2015-11-21,2,1,0,2,0,-2,100,97,86,1036,1032,1029,6,3,2,11,5,,1.02,8,中雨-中雪,154
2015-11-22,1,-2,-4,-1,-3,-5,100,95,76,1037,1036,1035,8,4,0,11,5,,4.06,8,中雨-中雪,147
2015-11-23,0,-3,-6,-4,-8,-12,100,70,35,1043,1038,1036,23,11,3,18,8,,0.00,7,中雪,20
2015-11-24,-4,-6,-8,-8,-12,-15,93,65,29,1042,1039,1034,31,12,3,18,10,,0.00,7,中雪,18
2015-11-25,-2,-6,-10,-8,-13,-21,93,65,20,1035,1032,1029,31,11,2,47,14,64,0.00,6,中雪,342
2015-11-26,-2,-7,-12,-11,-16,-21,86,52,16,1035,1032,1029,31,24,3,32,19,,0.00,,,346
2015-11-27,-1,-6,-9,-6,-9,-13,86,72,45,1029,1026,1023,8,4,2,6,5,,0.00,,,79
2015-11-28,1,-2,-4,-3,-6,-8,86,76,43,1031,1029,1027,3,2,0,11,5,,0.00,4,中雪,62
2015-11-29,6,1,-5,-2,-3,-6,100,80,38,1028,1027,1025,7,3,0,14,3,,0.00,8,雾,11
2015-11-30,2,-1,-5,-1,-3,-7,100,92,63,1028,1025,1023,8,2,0,6,5,,0.00,4,雾,62
2015-12-1,1,-1,-2,0,-1,-2,100,96,87,1023,1020,1017,2,1,0,18,5,,0.00,7,雾,137
2015-12-2,5,2,-2,-2,-12,-18,93,36,12,1022,1021,1019,31,13,1,40,21,61,0.00,3,雾,296
2015-12-3,2,0,-2,-12,-14,-17,47,33,13,1028,1024,1020,31,25,19,40,27,64,0.00,,,302
2015-12-4,7,2,-2,-9,-12,-15,44,33,13,1028,1027,1025,27,13,3,35,21,50,0.00,,,302
2015-12-5,9,2,-5,-5,-8,-11,80,47,14,1032,1029,1025,26,11,2,21,11,,0.00,,,5
2015-12-6,6,1,-5,-3,-4,-6,93,73,32,1032,1030,1028,8,4,2,6,5,,0.00,,,34
2015-12-7,5,1,-2,-1,-2,-4,100,77,47,1034,1033,1031,5,3,2,11,5,,0.00,8,,69
2015-12-8,2,0,-2,1,-1,-3,100,90,77,1033,1031,1028,2,2,0,6,3,,0.00,4,中雨,90
2015-12-9,5,3,1,3,1,-1,100,90,67,1028,1025,1023,2,1,0,11,6,,0.00,8,雾-中雨,358
2015-12-10,9,3,-3,1,-5,-11,100,60,12,1030,1026,1023,21,5,0,21,11,,0.00,,雾,2
2015-12-11,7,1,-4,-5,-9,-12,75,47,16,1031,1029,1027,27,9,3,18,10,26,0.00,,,6
2015-12-12,6,1,-4,-2,-5,-6,93,71,36,1027,1026,1024,8,5,0,11,5,,0.00,,雾,35
2015-12-13,4,0,-5,-2,-4,-6,93,75,40,1029,1027,1026,8,4,0,6,3,,1.02,,雾-中雪,48
2015-12-14,6,3,0,2,-4,-12,100,71,21,1026,1024,1021,19,1,0,35,8,55,0.76,7,雾-中雪,327
2015-12-15,4,1,-2,-10,-14,-17,55,30,12,1030,1026,1024,31,26,13,43,21,61,0.00,,,315
2015-12-16,2,-1,-4,-15,-16,-18,43,30,11,1035,1031,1029,31,27,18,43,32,61,0.00,,,324
2015-12-17,4,-2,-8,-10,-14,-16,68,40,12,1035,1032,1030,13,7,2,14,8,29,0.00,,,294
